deltan  ρ0  ρ   ue  uh  ua  De  Dh  Da
1.00E+12    187.4   8.079   551.5   187.8   280.3   21.39   7.284   10.87
1.45E+12    187.9   8.080   551.5   187.8   280.3   21.39   7.284   10.87
2.09E+12    188.5   8.081   551.5   187.8   280.4   21.39   7.284   10.87
3.02E+12    189.5   8.083   551.5   187.8   280.4   21.39   7.284   10.87
4.37E+12    190.8   8.085   551.5   187.8   280.5   21.39   7.284   10.88
6.31E+12    192.7   8.088   551.5   187.8   280.6   21.39   7.284   10.88
9.12E+12    195.3   8.093   551.5   187.8   280.8   21.39   7.283   10.89
1.32E+13    198.8   8.099   551.5   187.8   281.1   21.38   7.283   10.90
1.91E+13    203.3   8.107   551.4   187.8   281.5   21.38   7.283   10.91
2.75E+13    208.5   8.115   551.4   187.8   282.0   21.38   7.283   10.94
3.98E+13    213.2   8.123   551.3   187.8   282.8   21.38   7.283   10.97
5.75E+13    214.0   8.126   551.2   187.8   284.0   21.37   7.283   11.01
8.32E+13    205.9   8.116   551.0   187.8   285.6   21.37   7.282   11.08
1.20E+14    184.5   8.083   550.7   187.8   288.0   21.36   7.282   11.17
1.74E+14    152.4   8.014   550.3   187.7   291.3   21.34   7.280   11.30
2.51E+14    117.3   7.897   549.8   187.7   295.9   21.32   7.279   11.48
3.63E+14    86.00   7.717   548.9   187.6   302.3   21.29   7.276   11.72
5.25E+14    61.33   7.461   547.8   187.5   311.0   21.24   7.272   12.06
7.59E+14    43.11   7.111   546.3   187.4   322.3   21.18   7.267   12.50
1.10E+15    30.08   6.654   544.2   187.2   336.7   21.10   7.259   13.06
1.58E+15    20.92   6.087   541.5   186.9   354.0   21.00   7.248   13.73
2.29E+15    14.54   5.417   537.9   186.5   373.7   20.86   7.234   14.49
3.31E+15    10.10   4.674   533.3   186.0   394.5   20.68   7.214   15.30
4.79E+15    7.019   3.903   527.4   185.4   414.5   20.45   7.188   16.08
6.92E+15    4.884   3.154   520.0   184.5   431.8   20.17   7.154   16.74
1.00E+16    3.404   2.474   510.9   183.3   444.6   19.81   7.108   17.24
1.45E+16    2.378   1.891   499.8   181.8   451.6   19.38   7.050   17.51
2.09E+16    1.666   1.416   486.5   179.9   452.6   18.86   6.974   17.55
3.02E+16    1.171   1.046   470.8   177.4   447.6   18.26   6.879   17.36
4.37E+16    0.8271  0.7646  452.6   174.3   437.2   17.55   6.759   16.95
6.31E+16    0.5875  0.5566  432.2   170.5   422.1   16.76   6.610   16.37
9.12E+16    0.4204  0.4050  409.6   165.8   403.1   15.88   6.429   15.63
1.32E+17    0.3033  0.2957  385.3   160.2   381.2   14.94   6.213   14.78
1.91E+17    0.2211  0.2173  359.9   153.7   357.3   13.96   5.960   13.86
2.75E+17    0.1630  0.1611  334.0   146.3   332.4   12.95   5.672   12.89
3.98E+17    0.1216  0.1206  308.2   138.0   307.2   11.95   5.352   11.91
5.75E+17    0.09182 0.09129 283.2   129.1   282.5   10.98   5.006   10.96
8.32E+17    0.07008 0.06979 259.4   119.7   258.9   10.06   4.642   10.04
1.20E+18    0.05397 0.05381 237.1   110.1   236.8   9.193   4.269   9.183
1.74E+18    0.04185 0.04176 216.6   100.5   216.5   8.400   3.896   8.394
2.51E+18    0.03254 0.03250 198.1   91.09   198.0   7.684   3.532   7.679
3.63E+18    0.02521 0.02518 181.6   82.04   181.5   7.040   3.181   7.037
5.25E+18    0.01925 0.01923 166.8   73.35   166.7   6.467   2.844   6.465
7.59E+18    0.01440 0.01439 154.2   65.29   154.2   5.980   2.532   5.978
1.10E+19    0.01063 0.01062 144.6   58.36   144.6   5.608   2.263   5.607
1.58E+19    0.007820    0.007818    138.3   52.81   138.3   5.362   2.048   5.362
2.29E+19    0.005756    0.005755    134.8   48.48   134.8   5.226   1.880   5.226
3.31E+19    0.004228    0.004227    133.5   45.10   133.5   5.175   1.749   5.175
4.79E+19    0.003091    0.003091    133.7   42.41   133.7   5.184   1.645   5.184
6.92E+19    0.002248    0.002248    134.5   40.22   134.5   5.214   1.560   5.214
1.00E+20    0.001630    0.001630    134.2   38.34   134.2   5.205   1.487   5.205
